"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
121219253,"08/09/2012",2010,20,"HAND GUN","Invest Cont","5500 S  VERMONT                      AV","",-118.2915,33.9923
121219963,"08/20/2012",1,0,"UNKNOWN FIREARM","Invest Cont","7700 S  MAIN                         ST","",-118.2739,33.9697
121219979,"08/19/2012",2224,22,"UNKNOWN FIREARM","Invest Cont","1300 W  55TH                         ST","",-118.298,33.9923
121220038,"08/20/2012",2355,23,"SEMI-AUTOMATIC PISTOL","Invest Cont","800 W  51ST                         ST","",-118.2871,33.9965
121220839,"08/30/2012",1140,11,"UNKNOWN FIREARM","Invest Cont","1900 W  80TH                         ST","",-118.3112,33.9664
121221387,"09/09/2012",1105,11,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","84TH                         ST","MAIN                         ST",-118.2739,33.9633
121221643,"09/10/2012",1420,14,"HAND GUN","Invest Cont","9300 S  WESTERN                      AV","",-118.309,33.9519
121222214,"09/21/2012",438,4,"UNKNOWN FIREARM","Invest Cont","700 E  76TH                         PL","",-118.263,33.9703
121222387,"09/23/2012",2200,22,"UNKNOWN FIREARM","Invest Cont","6700    11TH                         AV","",-118.3294,33.9782
121223263,"10/06/2012",1850,18,"SEMI-AUTOMATIC PISTOL","Invest Cont","4500    WESLEY                       AV","",-118.2878,34.0027
121223701,"10/12/2012",1940,19,"REVOLVER","Adult Other","5400 S  NORMANDIE                    AV","",-118.3002,33.9932
121223720,"10/12/2012",1940,19,"UNKNOWN FIREARM","Invest Cont","1400 W  55TH                         ST","",-118.3002,33.9923
121223970,"10/16/2012",2300,23,"HAND GUN","Invest Cont","8900 S  SAINT ANDREWS                PL","",-118.3112,33.9564
121224079,"10/16/2012",2030,20,"HAND GUN","Invest Cont","BRYNHURST","63RD                         ST",-118.3338,33.9829
121224218,"10/19/2012",1800,18,"REVOLVER","Invest Cont","1600 W  81ST                         ST","",-118.3046,33.9655
121224241,"10/21/2012",130,1,"HAND GUN","Invest Cont","85TH                         ST","BROADWAY",-118.2782,33.9616
121224616,"10/26/2012",2200,22,"SHOTGUN","Invest Cont","7400 S  MAIN                         ST","",-118.2739,33.9728
121225584,"11/09/2012",230,2,"UNKNOWN FIREARM","Invest Cont","1700 W  49TH                         ST","",-118.3089,33.999
121226092,"11/18/2012",900,9,"HAND GUN","Invest Cont","AVALON                       BL","74TH                         ST",-118.2652,33.973
121226367,"11/23/2012",1030,10,"UNKNOWN FIREARM","Invest Cont","1200 W  53RD                         ST","",-118.2958,33.9941
121226467,"11/25/2012",450,4,"SEMI-AUTOMATIC PISTOL","Invest Cont","VERMONT                      AV","85TH                         ST",-118.2919,33.961
121226903,"12/01/2012",545,5,"HAND GUN","Invest Cont","7800 S  NORMANDIE                    AV","",-118.3003,33.9692
121226904,"12/01/2012",545,5,"HAND GUN","Invest Cont","7800 S  NORMANDIE                    AV","",-118.3003,33.9692
121226970,"12/01/2012",1800,18,"HAND GUN","Invest Cont","5900    MADDEN                       AV","",-118.3255,33.9873
121227006,"12/02/2012",1710,17,"HAND GUN","Invest Cont","3100 W  FLORENCE                     AV","",-118.3265,33.9746
121227039,"12/03/2012",1430,14,"HAND GUN","Invest Cont","1800 W  88TH                         ST","",-118.309,33.9582
121227106,"12/03/2012",1745,17,"OTHER FIREARM","Invest Cont","6400    11TH                         AV","",-118.3294,33.9817
121227456,"12/09/2012",1920,19,"HAND GUN","Invest Cont","49TH","FIGUEROA",-118.2827,33.9983
121227845,"12/16/2012",2355,23,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","8500 S  SAN PEDRO                    ST","",-118.2695,33.961
121228076,"12/18/2012",130,1,"OTHER FIREARM","Invest Cont","49TH                         ST","VERMONT                      AV",-118.2915,33.9987
121228389,"12/26/2012",415,4,"UNKNOWN FIREARM","Invest Cont","98TH                         ST","WESTERN                      AV",-118.309,33.947
121300665,"05/17/2012",2240,22,"UNKNOWN FIREARM","Invest Cont","5300    STAUNTON                     AV","",-118.2415,33.9946
121300688,"06/02/2012",200,2,"UNKNOWN FIREARM","Invest Cont","1300 E  49TH                         PL","",-118.2521,33.9984
121300692,"06/03/2012",215,2,"SEMI-AUTOMATIC PISTOL","Invest Cont","38TH                         ST","BROADWAY",-118.2762,34.0131
121300723,"06/17/2012",1320,13,"HAND GUN","Invest Cont","800 E  43RD                         PL","",-118.2617,34.0048
121300747,"06/25/2012",10,0,"HAND GUN","Invest Cont","61ST                         ST","BROADWAY",-118.2783,33.9842
121300804,"07/29/2012",1450,14,"AUTOMATIC WEAPON/SUB-MACHINE GUN","Invest Cont","4000    WALL                         ST","",-118.2716,34.0112
121300850,"08/27/2012",1435,14,"HAND GUN","Adult Arrest","500 E  36TH                         ST","",-118.268,34.0146
121300964,"12/01/2012",1115,11,"UNKNOWN FIREARM","Invest Cont","1200 E  47TH                         ST","",-118.2543,34.0011
121305411,"01/23/2012",2000,20,"HAND GUN","Adult Arrest","1100 E  40TH                         PL","",-118.2565,34.0102
121306073,"02/03/2012",630,6,"UNKNOWN FIREARM","Invest Cont","5100 S  BROADWAY","",-118.2783,33.9965
